epoch (ms),time (05:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.52613E+12,2018-05-12T16.54.12.793,286.042,-108.963,5,-763.171
1.52613E+12,2018-05-12T16.54.12.793,286.042,-610.305,-309.39,-1283.354
1.52613E+12,2018-05-12T16.54.12.793,286.042,-746.098,-417.805,-1942.622
1.52613E+12,2018-05-12T16.54.12.801,286.05,-716.098,-380.244,-1997.988
1.52613E+12,2018-05-12T16.54.12.801,286.05,-709.146,-380.671,-1990.549
1.52613E+12,2018-05-12T16.54.12.801,286.05,-707.866,-387.317,-1995.61
1.52613E+12,2018-05-12T16.54.12.843,286.092,-702.805,-389.817,-1997.988
1.52613E+12,2018-05-12T16.54.12.843,286.092,-697.805,-391.89,-1997.988
1.52613E+12,2018-05-12T16.54.12.843,286.092,-693.415,-393.781,-1997.988
1.52613E+12,2018-05-12T16.54.12.880,286.129,-689.39,-395.976,-1997.988
1.52613E+12,2018-05-12T16.54.12.880,286.129,-685,-398.354,-1997.988
1.52613E+12,2018-05-12T16.54.12.880,286.129,-680.671,-400.427,-1997.988
1.52613E+12,2018-05-12T16.54.12.935,286.184,-676.646,-402.439,-1997.988
1.52613E+12,2018-05-12T16.54.12.935,286.184,-672.927,-405,-1997.988
1.52613E+12,2018-05-12T16.54.12.935,286.184,-668.354,-407.805,-1997.988
1.52613E+12,2018-05-12T16.54.12.984,286.233,-663.354,-409.878,-1997.988
1.52613E+12,2018-05-12T16.54.12.984,286.233,-658.598,-411.463,-1997.988
1.52613E+12,2018-05-12T16.54.12.984,286.233,-654.39,-413.354,-1997.988
1.52613E+12,2018-05-12T16.54.13.076,286.325,-650.061,-415.488,-1997.988
1.52613E+12,2018-05-12T16.54.13.076,286.325,-645.671,-417.378,-1997.988
1.52613E+12,2018-05-12T16.54.13.076,286.325,-641.89,-419.329,-1997.988
1.52613E+12,2018-05-12T16.54.13.109,286.358,-637.988,-421.89,-1997.988
1.52613E+12,2018-05-12T16.54.13.109,286.358,-633.293,-424.817,-1997.988
1.52613E+12,2018-05-12T16.54.13.109,286.358,-627.988,-427.012,-1997.988
1.52613E+12,2018-05-12T16.54.13.176,286.425,-622.622,-428.415,-1997.988
1.52613E+12,2018-05-12T16.54.13.176,286.425,-618.232,-429.939,-1997.988
1.52613E+12,2018-05-12T16.54.13.176,286.425,-613.781,-431.829,-1997.988
1.52613E+12,2018-05-12T16.54.13.276,286.525,-609.207,-433.598,-1997.988
1.52613E+12,2018-05-12T16.54.13.276,286.525,-605.122,-435.305,-1997.988
1.52613E+12,2018-05-12T16.54.13.276,286.525,-601.159,-437.622,-1997.988
1.52613E+12,2018-05-12T16.54.13.287,286.536,-596.463,-440.61,-1997.988
1.52613E+12,2018-05-12T16.54.13.287,286.536,-590.732,-443.232,-1997.988
1.52613E+12,2018-05-12T16.54.13.287,286.536,-584.329,-444.573,-1997.988
1.52613E+12,2018-05-12T16.54.13.377,286.626,-578.598,-445.061,-1997.988
1.52613E+12,2018-05-12T16.54.13.377,286.626,-574.085,-445.61,-1997.988
1.52613E+12,2018-05-12T16.54.13.377,286.626,-569.939,-446.342,-1997.988
1.52613E+12,2018-05-12T16.54.13.408,286.657,-566.22,-447.439,-1997.988
1.52613E+12,2018-05-12T16.54.13.408,286.657,-562.744,-449.634,-1997.988
1.52613E+12,2018-05-12T16.54.13.408,286.657,-558.354,-453.049,-1997.988
1.52613E+12,2018-05-12T16.54.13.569,286.818,-552.378,-456.159,-1997.988
1.52613E+12,2018-05-12T16.54.13.569,286.818,-545.61,-457.683,-1997.988
1.52613E+12,2018-05-12T16.54.13.569,286.818,-488.171,-185.61,-1186.159
1.52613E+12,2018-05-12T16.54.13.571,286.82,46.402,999.451,1997.988
1.52613E+12,2018-05-12T16.54.13.571,286.82,215.122,1118.049,1997.988
1.52613E+12,2018-05-12T16.54.13.571,286.82,187.317,1012.5,1942.744
1.52613E+12,2018-05-12T16.54.13.619,286.868,224.939,1036.219,1991.646
1.52613E+12,2018-05-12T16.54.13.619,286.868,263.354,1047.439,1997.988
1.52613E+12,2018-05-12T16.54.13.619,286.868,296.463,1050.549,1997.134
1.52613E+12,2018-05-12T16.54.13.682,286.931,330.915,1055.854,1997.683
1.52613E+12,2018-05-12T16.54.13.682,286.931,365.549,1060.732,1997.988
1.52613E+12,2018-05-12T16.54.13.682,286.931,400.122,1064.817,1997.988
1.52613E+12,2018-05-12T16.54.13.702,286.951,434.756,1068.354,1997.988
1.52613E+12,2018-05-12T16.54.13.702,286.951,469.39,1071.463,1997.988
1.52613E+12,2018-05-12T16.54.13.702,286.951,504.024,1074.146,1997.988
1.52613E+12,2018-05-12T16.54.13.859,287.108,538.659,1076.219,1997.988
1.52613E+12,2018-05-12T16.54.13.859,287.108,573.232,1077.866,1997.988
1.52613E+12,2018-05-12T16.54.13.859,287.108,607.866,1079.024,1997.988
1.52613E+12,2018-05-12T16.54.13.940,287.189,642.5,1079.634,1997.988
1.52613E+12,2018-05-12T16.54.13.940,287.189,676.89,1079.756,1997.988
1.52613E+12,2018-05-12T16.54.13.940,287.189,711.342,1079.39,1997.988
1.52613E+12,2018-05-12T16.54.13.955,287.204,745.854,1078.476,1997.988
1.52613E+12,2018-05-12T16.54.13.955,287.204,780.305,1077.012,1997.988
1.52613E+12,2018-05-12T16.54.13.955,287.204,814.451,1075.183,1997.988
1.52613E+12,2018-05-12T16.54.13.960,287.209,848.598,1072.805,1997.988
1.52613E+12,2018-05-12T16.54.13.960,287.209,882.622,1069.878,1997.988
1.52613E+12,2018-05-12T16.54.13.960,287.209,916.524,1066.463,1997.988
1.52613E+12,2018-05-12T16.54.14.050,287.299,1009.268,1055.366,1997.988
1.52613E+12,2018-05-12T16.54.14.050,287.299,805.915,601.524,1997.439
1.52613E+12,2018-05-12T16.54.14.050,287.299,268.781,-163.963,1783.842
1.52613E+12,2018-05-12T16.54.14.076,287.325,581.768,-196.524,1059.329
1.52613E+12,2018-05-12T16.54.14.076,287.325,203.659,10.061,62.744
1.52613E+12,2018-05-12T16.54.14.076,287.325,-154.451,-44.207,-159.756
1.52613E+12,2018-05-12T16.54.14.139,287.388,-26.463,-49.39,62.866
1.52613E+12,2018-05-12T16.54.14.139,287.388,52.378,-11.402,61.707
1.52613E+12,2018-05-12T16.54.14.139,287.388,19.756,-15,56.585
1.52613E+12,2018-05-12T16.54.14.237,287.486,0.244,-23.415,57.134
1.52613E+12,2018-05-12T16.54.14.237,287.486,16.159,-12.5,37.012
1.52613E+12,2018-05-12T16.54.14.237,287.486,35.854,-1.159,29.695
1.52613E+12,2018-05-12T16.54.14.241,287.49,46.037,2.134,29.268
1.52613E+12,2018-05-12T16.54.14.241,287.49,43.354,6.22,29.024
1.52613E+12,2018-05-12T16.54.14.241,287.49,32.683,15.854,25.61
1.52613E+12,2018-05-12T16.54.14.290,287.539,23.537,19.451,20.549
1.52613E+12,2018-05-12T16.54.14.290,287.539,19.268,12.256,20.915
1.52613E+12,2018-05-12T16.54.14.290,287.539,19.207,4.146,22.744
1.52613E+12,2018-05-12T16.54.14.430,287.679,24.512,2.927,14.634
1.52613E+12,2018-05-12T16.54.14.430,287.679,23.841,1.28,6.951
1.52613E+12,2018-05-12T16.54.14.430,287.679,19.085,1.28,0.366
1.52613E+12,2018-05-12T16.54.14.436,287.685,12.378,1.037,-3.415
1.52613E+12,2018-05-12T16.54.14.436,287.685,9.451,1.341,-5.305
1.52613E+12,2018-05-12T16.54.14.436,287.685,8.354,1.098,-7.134
1.52613E+12,2018-05-12T16.54.14.500,287.749,4.817,0.488,-6.463
1.52613E+12,2018-05-12T16.54.14.500,287.749,5.488,4.146,-6.28
