elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
2.805,-0.427,-3.841,0.244
2.865,0.488,-2.988,0.122
2.865,1.768,-2.256,-0.061
2.865,3.049,-2.195,-0.061
2.872,4.268,-2.561,0.122
2.872,5.488,-3.11,0.366
2.872,5.732,-4.146,0.427
2.904,4.817,-5.366,0.793
2.904,3.415,-6.159,1.037
2.904,1.22,-6.829,1.28
2.924,-0.854,-7.134,1.463
2.925,-2.5,-6.707,1.402
2.925,-3.841,-5.732,1.28
2.955,-4.756,-4.024,0.976
2.955,-5.244,-2.561,0.854
2.955,-5.488,-0.854,0.793
2.999,-5.488,1.037,0.671
2.999,-5.061,2.927,0.366
3,-4.451,4.268,0.305
3.015,-4.146,4.756,0.305
3.015,-4.451,3.598,0
3.015,-4.146,0.976,0.732
3.046,-3.841,-0.61,0.854
3.046,-3.293,-2.378,0.793
3.046,-1.646,-3.476,1.098
3.082,0.183,-3.902,1.22
3.082,2.012,-3.171,1.22
3.082,3.537,-1.402,1.28
3.105,4.268,0.915,1.341
3.105,3.78,3.232,1.341
3.105,2.5,5,2.012
3.134,1.28,5.61,2.683
3.135,0.793,4.573,1.402
3.135,-0.427,3.476,1.707
3.172,-1.524,2.317,1.829
3.172,-1.829,1.768,1.646
3.172,-2.012,1.768,1.28
3.195,-1.951,1.646,1.037
3.195,-1.159,1.463,1.037
3.195,0.244,0.854,1.098
3.232,1.829,0.793,1.037
3.232,3.049,1.159,1.159
3.232,3.841,1.768,1.463
3.262,3.78,2.134,1.28
3.262,3.11,1.646,1.22
3.262,2.195,-0.183,1.646
3.292,0.793,-2.5,1.89
3.292,-0.427,-4.329,2.195
3.292,-1.89,-5.244,2.012
3.315,-2.805,-5.061,1.768
3.315,-2.927,-4.207,1.22
3.315,-2.256,-2.988,0.549
3.337,-0.976,-2.012,0.305
3.337,0.61,-1.341,0.366
3.337,2.5,-0.366,-0.122
3.367,4.085,0.061,-0.488
3.367,5.122,0.183,-0.61
3.367,5.061,-0.061,-0.732
3.399,3.902,-0.671,-0.671
3.399,2.317,-1.098,-0.427
3.399,0.366,-1.341,-0.427
3.434,-0.854,-1.524,-0.732
3.434,-0.854,-1.89,-0.915
3.435,-0.732,-2.073,-0.976
3.457,-0.671,-2.439,-0.976
3.457,-0.244,-2.805,-0.427
3.457,0.549,-3.11,0
3.496,1.585,-3.171,0.061
3.496,2.561,-2.988,-0.122
3.496,2.561,-2.378,-0.488
3.525,1.951,-1.037,-0.671
3.526,1.159,0.671,-0.854
3.526,0.366,2.317,-1.037
3.57,-0.183,3.049,-1.037
3.571,-0.488,2.866,-1.159
3.571,-0.671,2.012,-1.098
3.585,-0.366,0.793,-0.976
3.585,-0.061,-0.854,-0.915
3.585,0.183,-2.073,-0.793
3.607,0.793,-2.256,-0.549
3.607,1.585,-2.134,-0.122
3.607,2.256,-1.28,0.183
3.637,2.561,0.183,0.122
3.637,2.622,1.22,0.061
3.637,2.805,1.585,0.183
3.69,2.5,1.22,-0.061
3.69,1.768,0.732,-0.305
3.69,0.732,0.305,-0.244
3.705,-0.122,0.183,0
3.706,-0.122,0.366,0
3.706,0.61,0.488,-0.061
3.729,1.707,-0.366,0
3.729,3.11,-2.195,0.488
3.729,4.207,-3.659,0.854
3.758,4.451,-4.024,0.854
3.758,3.902,-3.537,0.61
3.758,3.293,-2.622,0.427
3.796,2.866,-1.22,0.122
3.796,2.561,0,0.122
3.796,2.134,0.793,0.183
3.818,1.951,1.585,0.244
3.818,2.134,1.768,0.549
3.818,2.561,1.098,0.854
3.854,2.683,0.488,0.671
3.854,1.829,0.671,0.244
3.854,0.488,1.585,0.122
3.892,-0.427,2.805,0.305
3.892,-0.61,3.476,0.122
3.892,-0.549,3.415,-0.244
3.915,0.305,2.5,0.061
3.915,1.768,1.098,0.366
3.915,2.683,-0.183,0.305
3.931,2.866,-0.854,0.244
3.931,2.683,-1.463,0.488
3.931,2.256,-1.768,0.61
3.96,1.646,-1.585,0.61
3.96,1.037,-1.463,0.854
3.96,0,-1.159,1.159
3.99,-1.159,-0.732,1.28
3.991,-2.622,-0.366,1.28
3.991,-4.268,0.305,1.098
4.02,-5.183,1.28,0.915
4.02,-5.671,1.951,0.854
4.02,-5.549,1.89,1.037
4.05,-4.756,1.524,1.28
4.05,-3.78,1.098,1.646
4.05,-2.744,0.671,2.012
4.08,-1.951,0.854,2.5
4.081,-1.402,1.646,2.622
4.081,-1.402,2.744,1.951
4.125,-1.646,3.293,1.402
4.125,-0.671,3.232,1.524
4.125,0.183,2.683,1.585
4.148,0.244,1.89,1.22
4.148,-0.122,1.098,1.037
4.148,-0.488,0.366,1.22
4.169,-0.671,-0.183,1.28
4.17,-0.915,0,1.159
4.17,-0.732,0.427,0.976
4.2,-0.671,0.427,1.037
4.2,-1.037,-0.122,1.159
4.2,-1.89,-0.488,1.159
4.237,-2.744,-0.61,1.098
4.237,-3.049,-0.549,1.159
4.237,-2.561,-0.732,1.585
4.267,-1.22,-0.671,1.951
4.267,-0.549,0.305,1.463
4.267,-0.915,1.951,0.732
4.289,-1.402,4.146,0.549
4.29,-1.585,5.915,0.671
4.29,-1.585,6.89,0.305
4.313,-1.463,6.28,0.183
4.313,-0.793,3.72,0.671
4.313,-0.793,0.366,1.402
4.35,-1.22,-2.073,1.951
4.35,-1.585,-4.085,2.012
4.35,-1.341,-6.341,2.134
