elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
15.607,-200.427,-220.854,226.037
15.607,-202.439,-241.22,243.598
15.645,-198.476,-254.085,263.842
15.645,-200.671,-269.329,284.756
15.646,-201.585,-288.354,287.378
15.668,-199.146,-300.183,264.939
15.668,-195.366,-308.171,235.488
15.668,-187.988,-321.89,218.598
15.698,-190.671,-335,208.293
15.698,-198.354,-336.585,203.598
15.698,-204.939,-328.842,213.049
15.729,-220.854,-316.646,234.695
15.729,-246.342,-299.573,254.329
15.729,-273.902,-274.085,253.11
15.757,-295.549,-244.695,225.915
15.757,-316.281,-212.927,192.378
15.757,-339.512,-193.293,170.305
15.787,-362.866,-193.11,153.11
15.787,-373.476,-199.146,133.415
15.787,-377.805,-197.439,119.329
15.817,-400.549,-192.561,123.476
15.817,-438.476,-165.427,140.915
15.817,-487.378,-101.585,164.695
15.854,-555.671,-19.268,200.671
15.855,-637.195,61.646,242.866
15.855,-705.061,136.89,277.866
15.907,-742.744,214.451,289.329
15.907,-764.39,289.512,275.61
15.907,-772.561,355.549,247.866
15.914,-762.927,402.256,219.817
15.914,-734.512,443.963,196.524
15.914,-694.878,500.183,178.232
15.937,-652.256,548.476,164.451
15.937,-604.939,579.024,159.451
15.937,-555.061,601.768,168.598
15.967,-504.817,629.756,178.293
15.967,-454.634,649.024,178.049
15.967,-397.622,646.524,171.951
15.997,-334.146,637.378,165.732
15.997,-270.183,627.683,155.549
15.997,-212.622,623.72,142.134
16.043,-167.256,626.951,130.915
16.043,-131.342,631.037,129.268
16.043,-104.329,632.012,147.012
16.057,-84.085,624.146,175.793
16.057,-60.305,624.024,198.232
16.057,-32.012,629.573,207.805
16.117,-8.598,619.024,218.11
16.117,4.634,588.293,247.866
16.117,19.878,548.415,280.61
16.125,36.22,507.927,302.927
16.125,59.695,469.939,304.573
16.125,88.415,441.951,296.402
16.139,112.866,424.146,291.585
16.139,135.61,401.951,290.122
16.139,152.866,377.256,293.842
16.179,170,353.415,304.024
16.179,179.939,335.793,316.89
16.179,184.756,324.085,320.915
16.199,182.866,318.659,324.634
16.199,174.085,317.378,328.232
16.199,169.146,309.878,327.866
16.229,166.463,293.049,338.293
16.229,164.146,267.561,351.829
16.229,169.573,253.293,347.195
16.261,169.207,257.073,340.427
16.261,166.22,264.451,333.963
16.261,163.476,266.281,320.732
16.304,157.683,260.915,301.707
16.304,149.146,256.707,281.342
16.304,138.598,262.256,267.988
16.334,117.134,272.012,268.963
16.335,92.866,277.866,267.073
16.335,69.878,284.512,257.134
16.35,45.366,293.72,247.866
16.35,21.707,303.72,234.146
16.35,2.439,308.781,214.024
16.379,-9.634,312.683,187.378
16.379,-25.244,316.951,164.573
16.379,-49.878,316.098,157.5
16.409,-82.378,320.061,154.939
16.409,-116.524,327.805,145.061
16.409,-148.171,325.671,133.842
16.441,-174.146,316.037,119.695
16.441,-196.585,305.427,99.146
16.441,-216.098,287.622,71.22
16.477,-229.573,265.488,34.878
16.477,-240.549,248.354,7.5
16.477,-263.476,231.707,2.561
16.508,-294.39,213.72,-5.366
16.509,-324.756,195.427,-22.622
16.509,-354.39,176.89,-39.512
16.529,-380.854,151.098,-63.232
16.53,-403.781,112.683,-96.098
16.53,-427.805,64.573,-125.305
16.552,-446.342,11.159,-134.878
16.552,-471.524,-34.024,-119.085
16.552,-501.768,-85.366,-124.939
16.582,-501.098,-163.781,-166.159
16.582,-481.342,-269.695,-209.39
16.582,-465.549,-376.646,-238.781
16.612,-473.781,-470.427,-260.976
16.612,-511.281,-581.646,-283.781
16.612,-655.122,-734.634,-360.549
16.643,-1149.878,-752.988,-516.159
16.643,-1915.976,-567.805,-920.732
16.643,-1997.988,-492.927,-1227.561
16.679,-1989.573,-518.293,-1207.622
16.679,-1994.756,-533.598,-1186.159
16.679,-1997.988,-543.72,-1188.841
16.703,-1997.988,-556.037,-1185.976
16.703,-1997.927,-568.476,-1182.683
16.703,-1997.988,-580.732,-1180
16.74,-1997.988,-592.805,-1177.073
16.74,-1997.988,-604.512,-1173.902
16.74,-1997.988,-616.342,-1170.915
16.763,-1997.988,-628.293,-1167.988
16.763,-1997.988,-640.183,-1165.061
16.763,-1997.988,-652.317,-1162.073
16.793,-1997.988,-664.268,-1159.207
16.793,-1997.988,-675.915,-1156.281
16.793,-1997.988,-687.805,-1153.415
16.822,-1997.988,-700.061,-1150.366
16.822,-1997.988,-712.378,-1147.561
16.822,-1997.988,-724.634,-1145
16.852,-1997.988,-736.585,-1142.195
16.852,-1997.988,-748.354,-1139.329
16.852,-1997.988,-760,-1136.341
16.882,-1997.988,-771.585,-1133.415
16.882,-1997.988,-783.293,-1130.61
16.882,-1997.988,-795.122,-1127.744
16.916,-1997.988,-806.951,-1124.939
16.916,-1997.988,-818.598,-1122.012
16.916,-1997.988,-830.244,-1119.024
16.942,-1997.988,-842.134,-1116.037
16.942,-1997.988,-854.268,-1113.293
16.942,-1997.988,-866.342,-1110.732
16.972,-1997.988,-878.232,-1108.232
16.972,-1997.988,-889.878,-1105.61
16.972,-1997.988,-901.342,-1102.866
17.002,-1997.988,-912.622,-1100
17.002,-1997.988,-924.085,-1097.317
17.002,-1997.988,-935.61,-1094.451
17.032,-1997.988,-947.195,-1091.585
17.032,-1997.988,-958.598,-1088.841
17.032,-1997.988,-969.878,-1085.976
17.062,-1997.988,-981.159,-1083.049
17.062,-1997.988,-992.866,-1080.061
17.063,-1997.988,-1004.939,-1077.378
17.086,-1997.988,-1016.707,-1075.061
17.086,-1997.988,-1028.049,-1072.622
17.086,-1997.988,-1039.39,-1070.061
17.123,-1997.988,-1050.427,-1067.439
17.123,-1997.988,-1061.646,-1064.695
17.123,-1997.988,-1073.049,-1061.829
17.146,-1997.988,-1084.39,-1059.146
17.147,-1997.988,-1095.488,-1056.524
17.147,-1997.988,-1106.402,-1053.659
17.174,-1997.988,-1117.317,-1051.037
17.174,-1997.988,-1128.902,-1048.11
17.174,-1997.988,-1140.671,-1045.427
17.219,-1997.988,-1152.317,-1043.171
17.219,-1997.988,-1163.598,-1041.098
17.219,-1997.988,-1174.329,-1038.719
17.234,-1997.988,-1184.939,-1036.341
17.234,-1997.988,-1195.671,-1033.963
17.235,-1997.988,-1206.707,-1031.463
17.264,-1997.988,-1217.683,-1029.024
17.264,-1997.988,-1228.659,-1026.463
17.264,-1997.988,-1239.39,-1024.024
17.302,-1997.988,-1250.061,-1021.463
17.302,-1997.988,-1261.037,-1018.781
17.302,-1997.988,-1272.439,-1016.037
17.347,-1997.988,-1283.842,-1013.72
17.347,-1997.988,-1295,-1011.707
17.347,-1997.988,-1305.488,-1009.634
17.354,-1997.988,-1315.732,-1007.378
17.354,-1997.988,-1326.037,-1005.061
17.355,-1997.988,-1336.585,-1002.927
17.393,-1997.988,-1347.195,-1000.732
17.393,-1997.988,-1357.805,-998.415
17.393,-1997.988,-1368.293,-996.159
17.414,-1997.988,-1378.476,-993.842
17.415,-1997.988,-1388.781,-991.22
17.415,-1997.988,-1399.634,-988.476
17.468,-1997.988,-1410.915,-986.159
17.468,-1997.988,-1421.829,-984.207
17.468,-1997.988,-1426.829,-961.403
17.483,-1997.988,-1192.073,636.951
17.483,-1997.988,-1327.561,1997.988
17.483,-1997.988,-1307.988,1997.988
17.505,-1997.988,-1160.488,1965.244
17.505,-1997.988,-1048.293,1997.988
17.505,-1997.988,-934.451,1997.988
17.529,-1997.988,-815.488,1997.256
17.529,-1997.988,-695.793,1997.988
17.529,-1997.988,-574.939,1997.988
17.557,-1997.988,-452.805,1997.988
17.557,-1997.988,-329.695,1997.988
17.557,-1997.988,-205.488,1997.988
17.596,-1997.988,-80.183,1997.988
17.596,-1997.988,45.671,1997.988
17.596,-1997.988,172.378,1997.988
17.618,-1997.988,299.695,1997.988
17.618,-1997.988,427.683,1997.988
17.618,-1997.988,556.159,1997.988
17.677,-1997.988,685,1997.988
17.677,-1997.988,814.146,1997.988
17.677,-1997.988,943.537,1997.988
17.707,-1997.988,1072.988,1997.988
17.707,-1997.988,1202.439,1997.988
17.707,-1997.988,1331.89,1997.988
17.723,-1997.988,1461.281,1997.988
17.723,-1997.988,1590.366,1997.988
17.723,-1997.988,1719.024,1997.988
17.767,-1997.988,1847.256,1997.988
17.767,-1997.988,1967.683,1997.988
17.767,-1997.988,1997.988,1997.988
17.797,-1997.988,1997.988,1997.988
17.797,-1997.988,1997.134,1997.988
17.797,-1997.988,1997.988,1997.988
17.805,-1997.988,1997.988,1997.988
17.805,-1997.439,1997.378,1994.024
17.805,-1254.39,1240.122,705.305
17.829,-117.134,542.805,-1054.268
17.829,-281.951,357.195,311.646
17.829,-218.354,469.695,421.098
17.859,326.646,648.598,722.988
17.859,810.915,497.439,619.756
17.859,-407.988,-160.854,-318.232
17.895,-335.671,-56.524,-310.854
17.895,150,121.342,-213.842
17.895,195.61,95.366,-32.988
17.925,156.342,78.537,192.744
17.925,86.159,128.293,266.646
17.925,57.195,143.415,194.695
18.007,99.817,173.293,131.342
18.007,126.098,210.854,167.317
18.007,72.378,223.11,205.427
18.052,87.378,250.61,158.232
18.053,87.195,210.305,77.988
18.053,87.683,144.39,15.61
18.083,85.61,94.024,-7.744
18.083,67.927,55.976,-25.305
18.083,18.963,26.768,-49.634
18.097,-25.549,18.354,-81.585
18.097,-45.183,21.707,-100.854
18.097,-45.976,44.512,-97.927
18.106,-51.341,53.415,-91.768
18.106,-53.171,50.244,-88.232
18.106,-45.061,48.049,-80.732
18.158,-33.415,38.11,-71.646
18.158,-15.854,28.171,-62.744
18.158,-1.098,23.293,-57.073
18.195,3.72,17.683,-58.171
18.197,-2.805,7.073,-62.195
18.197,-18.902,-4.024,-67.195
18.226,-30,-16.037,-70.305
18.226,-33.841,-22.378,-69.39
18.226,-31.524,-21.89,-65.183
18.292,-24.634,-21.341,-62.378
18.292,-15,-22.622,-63.78
18.292,-5.427,-17.317,-65.671
18.322,2.073,-9.817,-66.707
18.322,8.598,-6.585,-67.073
18.322,13.476,-6.829,-67.439
18.39,19.512,-10.305,-67.561
18.39,26.098,-13.72,-70.366
18.39,37.561,-14.39,-79.634
18.442,53.11,-14.451,-81.89
18.442,72.866,-12.073,-48.841
18.442,87.805,0.793,-29.329
18.614,103.902,5.793,-19.756
18.615,118.902,9.939,-9.207
18.615,132.988,18.11,-1.89
18.96,151.829,36.098,4.756
18.96,153.963,48.11,10
18.96,165.732,46.402,21.829
18.999,176.768,45.366,35.488
18.999,187.5,50.61,42.317
18.999,198.842,55.366,44.512
19.014,210.061,63.598,45.671
19.014,225.793,75.976,50.61
19.014,228.293,97.378,54.573
19.044,203.842,110.366,81.28
19.044,185.915,115.244,98.293
19.044,173.476,107.927,102.134
19.05,171.281,84.512,91.585
19.05,179.451,61.037,63.841
19.051,180.427,43.902,22.683
19.081,185.854,32.805,-7.866
19.081,198.659,33.354,-11.22
19.081,215.732,54.146,21.22
19.102,201.829,70.427,70.793
19.102,193.659,79.756,72.622
19.102,185.366,78.902,80.61
19.154,174.573,72.378,81.89
19.155,163.902,63.232,61.707
19.155,150.671,51.341,34.329
19.215,132.317,44.085,14.146
19.215,110.183,44.207,3.72
19.215,86.037,47.134,-5.122
19.238,-125.427,-13.659,84.268
19.238,-128.537,-11.098,77.622
19.238,-130.854,-5.488,70.732
19.238,-133.049,4.268,62.439
19.238,-134.512,15.122,53.78
19.238,-134.268,24.207,47.927
19.254,-134.512,30.915,46.768
19.254,-134.634,40.061,44.756
19.254,-120.427,31.768,37.927
19.268,-109.878,27.317,22.805
19.268,-116.22,44.939,-1.037
19.268,-104.146,44.573,-9.756
19.29,-92.134,27.134,-12.317
19.29,-84.939,10.122,-20.488
19.29,-81.28,7.439,-38.171
19.312,-87.622,14.146,-58.11
19.312,-99.268,19.878,-72.622
19.312,-109.268,20.915,-82.256
19.32,-112.439,14.939,-87.683
19.32,-108.354,10.732,-86.524
19.32,-97.012,17.866,-80.915
19.343,-83.841,36.829,-70.854
19.343,-71.951,57.195,-55.976
19.343,-64.634,65.366,-40.61
19.379,-59.085,44.756,-2.195
19.379,-53.049,42.927,5.366
19.379,-45.732,38.598,11.341
19.389,-38.049,31.524,16.402
19.389,-32.5,20.61,22.134
19.389,-25.793,2.988,29.085
19.411,-11.768,3.171,19.024
19.411,-1.89,19.39,-2.988
19.411,-4.39,33.049,-22.317
19.419,-17.378,37.256,-33.659
19.419,-32.683,32.927,-38.537
19.42,-44.39,23.293,-40.427
19.433,-50.915,16.829,-43.659
19.433,-55.976,15.305,-43.902
19.433,-59.329,16.341,-36.341
19.441,-59.024,20.488,-25.976
19.441,-57.866,30.549,-17.927
19.441,-59.451,44.329,-13.049
19.448,-57.744,50.427,-7.012
19.448,-48.598,47.195,1.28
19.448,-39.756,42.683,9.756
19.478,-34.634,42.866,16.768
19.478,-36.037,48.476,22.622
19.479,-46.341,52.988,25.549
19.514,-66.524,54.451,17.073
19.515,-77.866,46.585,15.183
19.515,-76.28,57.561,14.329
19.531,-82.256,66.098,16.28
19.532,-94.756,53.049,5.122
19.533,-104.024,41.098,-19.817
19.545,-100.732,33.659,-27.866
19.545,-85.854,32.561,-24.268
19.545,-61.646,40,-19.939
19.575,-40.549,47.866,-13.232
19.575,-31.159,48.476,-7.317
19.575,-29.329,44.146,-2.439
19.597,-30.244,35.366,2.256
19.597,-29.268,25.549,9.878
19.597,-23.232,19.451,23.171
19.634,-9.939,37.378,45.244
19.634,20.61,32.5,52.012
19.634,22.866,22.012,63.659
19.672,6.524,41.22,72.195
19.672,4.573,40.244,63.476
19.672,5.061,32.622,56.89
19.703,8.11,20.183,52.134
19.703,15.549,7.073,57.317
19.703,24.512,3.354,65.488
19.739,30.183,0.305,65.549
19.74,30.488,-6.037,55.61
19.74,34.756,-10.061,34.268
19.747,39.085,-12.927,9.024
19.747,27.744,-18.841,-21.707
19.747,1.768,-20.061,-59.512
19.799,-17.805,-10.793,-97.378
19.799,-22.256,9.329,-126.524
19.8,-22.073,13.232,-114.024
19.807,-23.659,7.866,-73.72
19.807,-10.61,19.39,-75.854
19.807,5.427,39.207,-99.207
19.837,7.5,46.707,-108.293
19.837,-0.183,45.061,-99.573
19.837,-1.585,39.268,-88.476
19.882,23.354,20.732,-61.951
19.882,52.683,21.402,-41.707
19.882,56.22,44.695,-46.463
19.905,46.463,47.012,-43.902
19.905,25.244,37.256,-38.171
19.905,-5.732,33.232,-33.598
19.927,-38.354,34.329,-32.866
19.927,-61.707,33.598,-32.195
19.927,-72.134,32.012,-33.659
19.957,-78.841,35,-44.146
19.957,-87.439,40.305,-58.293
19.957,-97.073,45.427,-68.902
19.987,-102.012,57.317,-75.122
19.988,-94.268,73.354,-79.756
19.988,-71.768,76.89,-84.939
20.017,-40.671,68.354,-83.476
20.017,-11.89,57.134,-74.695
20.017,3.049,46.28,-64.329
20.069,7.683,35,-58.659
20.069,6.22,31.89,-56.768
20.069,0.183,37.561,-56.951
20.084,-7.439,45.183,-61.402
20.084,-13.902,50.244,-71.037
20.084,-20,51.768,-77.012
20.107,-26.585,47.744,-69.817
20.107,-16.341,42.439,-65.366
20.107,-7.439,34.939,-53.232
20.129,1.341,27.012,-33.72
20.129,24.39,16.159,-8.72
20.129,39.939,3.476,-3.171
20.167,38.232,-0.61,-6.585
20.167,44.146,7.256,-5.549
20.167,53.049,17.683,-14.207
20.189,57.805,24.024,-33.963
20.189,70.244,31.341,-50.427
20.189,96.28,40.488,-55.976
20.219,124.207,41.341,-55.244
20.219,147.744,26.22,-52.378
20.219,160.061,21.829,-53.72
20.257,160.183,44.329,-57.439
20.257,155.244,79.512,-55
20.257,139.451,106.951,-36.524
20.304,110.793,119.207,-16.22
20.304,85.854,114.512,-7.805
20.304,71.524,100.183,-12.988
20.369,65.671,90.61,-27.195
20.369,61.768,77.073,-43.72
20.373,57.256,59.939,-61.037
20.378,57.256,48.78,-79.268
20.378,65.427,49.39,-95.488
20.378,68.11,59.573,-94.695
20.394,56.951,61.463,-86.829
20.394,30.671,51.22,-64.573
20.394,3.902,33.293,-42.988
20.415,-15,12.317,-34.451
20.415,-25.427,-1.28,-22.927
20.415,-32.5,-9.146,2.5
20.429,-19.207,-28.537,-1.098
20.429,-9.878,-44.512,-8.049
20.429,1.463,-47.317,0.061
20.467,20,-47.012,13.902
20.467,33.841,-48.598,22.744
20.467,35.61,-47.805,26.524
20.489,29.878,-48.415,25.915
20.489,19.146,-49.573,19.329
20.489,6.524,-40.976,9.329
20.527,-6.585,-32.134,1.463
20.527,-18.232,-35.671,-5.122
20.527,-27.683,-47.622,-6.585
20.55,-27.683,-57.622,-10.793
20.55,-19.024,-54.939,-18.72
20.55,-8.354,-48.476,-20.305
20.58,-1.646,-45.305,-17.5
20.58,1.768,-46.646,-14.207
20.58,-0.732,-49.756,-9.451
20.655,-9.817,-44.939,-4.512
20.655,-18.293,-30.671,-8.476
20.655,-30.305,-22.927,-13.598
20.671,-52.012,-31.22,-15.305
20.671,-70.122,-42.988,-14.024
20.671,-73.659,-47.5,-7.073
20.685,-66.768,-47.927,6.768
20.685,-52.5,-46.28,23.659
20.685,-32.866,-44.207,33.78
20.692,-7.317,-44.329,33.232
20.692,12.012,-45.671,19.085
20.692,20.244,-44.207,6.159
20.723,24.634,-40.793,2.134
20.723,27.317,-37.195,7.439
20.723,30.244,-29.451,21.768
20.753,30.183,-23.78,30.061
20.753,29.756,-18.659,33.72
20.753,26.768,-18.354,33.963
20.782,26.28,-21.585,33.415
20.782,33.354,-21.829,35.915
20.782,41.402,-20.549,36.28
20.835,45.061,-18.963,32.927
20.835,45.793,-17.195,27.744
20.835,45.305,-13.902,21.768
20.843,43.659,-9.146,15.305
20.843,40.122,-2.256,11.22
20.843,35.976,7.317,8.659
20.872,33.049,15.488,3.72
20.872,30.793,21.341,1.951
20.872,28.476,27.073,-0.793
20.903,28.171,35,-3.293
20.903,27.927,41.22,-4.146
20.904,26.768,43.902,-7.256
20.939,25.366,44.695,-11.768
20.94,25.671,45.244,-15
20.94,24.756,42.988,-18.171
20.97,20.244,39.085,-20.488
20.97,14.817,39.634,-21.159
20.97,11.098,40.183,-20.915
20.992,3.293,36.829,-19.146
20.992,0.488,36.524,-20.061
20.992,-2.683,35.122,-25.366
21.031,-10.671,35.549,-32.561
21.031,-16.463,34.451,-39.146
21.031,-21.951,37.439,-46.402
21.052,-28.293,41.524,-51.463
21.052,-34.878,45.122,-51.89
21.052,-39.878,51.22,-48.293
21.09,-37.378,60.793,-46.89
21.09,-30.549,69.085,-40.427
21.09,-22.5,67.622,-23.72
21.112,-11.341,58.902,-0.854
21.112,-2.683,49.939,23.537
21.112,-0.305,45.366,42.134
21.173,-5.366,47.378,48.72
21.173,-16.463,48.659,49.39
21.173,-28.11,47.195,44.207
21.187,-34.695,47.378,33.11
21.187,-32.805,45.122,21.037
21.187,-27.073,40.183,11.646
21.202,-23.415,36.829,7.317
21.202,-20.976,34.817,0.671
21.202,-20.366,33.354,-11.098
21.232,-16.707,33.354,-20.061
21.232,-13.049,37.073,-21.89
21.232,-15.366,42.134,-16.89
21.269,-19.085,39.939,-10.061
21.269,-20.305,28.537,-1.524
21.269,-20.488,14.634,12.866
21.307,-18.72,5.183,34.39
21.307,-14.024,-0.244,58.659
21.307,-11.585,-3.841,81.707
21.323,-14.39,-6.159,103.049
21.323,-15.427,-9.207,116.707
21.323,-12.134,-12.317,119.756
21.344,-13.354,-9.756,116.707
21.345,-19.451,1.524,107.012
21.345,-18.476,21.768,86.098
21.421,-10.061,43.232,61.341
21.421,2.5,54.024,40.793
21.421,13.049,53.659,24.756
21.427,14.695,49.512,12.256
21.428,10.488,43.232,3.049
21.428,9.024,32.805,-4.268
21.434,12.5,19.878,-10.915
21.435,15.061,9.146,-14.512
21.435,14.329,4.268,-14.573
21.465,15.671,4.146,-13.171
21.466,23.963,9.39,-10.671
21.466,37.988,18.049,-6.646
21.518,51.524,23.354,-2.317
21.518,57.317,10.854,0.427
21.518,48.476,-18.232,4.085
21.524,38.415,-35.488,5.427
21.525,33.72,-39.085,0.854
21.525,23.354,-35.183,-3.415
21.554,14.634,-30.244,-4.268
21.554,19.329,-37.439,-0.732
21.554,29.146,-54.817,12.256
21.592,33.72,-61.585,35.976
21.592,36.646,-54.756,62.866
21.592,38.415,-40.732,82.683
21.609,37.927,-18.537,92.561
21.609,38.598,9.939,96.646
21.609,40.915,37.134,99.451
21.637,45.793,51.646,101.646
21.637,48.171,46.585,96.524
21.637,39.878,40.488,90.183
21.667,32.256,31.037,83.171
21.667,32.927,21.037,71.585
21.667,35.671,15.183,56.402
21.697,35.549,11.402,48.598
21.697,33.049,4.268,53.72
21.697,23.78,-7.317,68.354
21.727,10.915,-21.768,78.72
21.727,0.671,-33.598,78.11
21.727,-3.537,-31.22,74.329
21.757,-8.963,-15.915,67.866
21.757,-18.415,-5.732,53.415
21.757,-27.317,-7.5,32.317
21.796,-31.037,-18.841,12.683
21.796,-21.707,-21.89,-5.549
21.796,-2.134,-5.793,-21.646
21.817,13.415,2.988,-28.232
21.817,21.646,5.366,-28.841
21.817,21.585,9.695,-32.134
21.855,12.988,13.11,-35.122
21.855,2.378,13.476,-28.72
21.855,-2.195,17.5,-13.537
21.877,-1.707,23.293,2.988
21.877,-0.244,26.524,16.341
21.877,-0.549,29.207,23.72
21.914,-1.22,30.549,21.22
21.915,1.768,28.11,10.976
21.915,7.988,23.659,-3.963
21.938,15.305,17.012,-22.622
21.938,18.78,7.683,-37.561
21.938,16.829,-19.512,-46.585
21.967,-7.988,-94.939,-52.561
21.967,4.024,-107.988,-51.768
21.967,33.415,-79.634,-56.707
21.997,53.598,-62.927,-63.476
21.997,69.024,-50.305,-71.159
21.997,77.988,-47.927,-78.293
22.027,93.598,-35.61,-76.463
22.027,109.39,-21.707,-75.122
22.027,100.305,-33.78,-79.878
22.057,73.354,-41.585,-70.61
22.057,25.427,-30.61,-71.159
22.057,-14.512,-28.171,-95.305
22.087,-21.768,-34.634,-138.476
22.087,-12.256,-35.061,-170.732
22.087,2.622,-37.561,-157.805
22.117,1.524,-37.195,-132.561
22.117,-6.646,-30.122,-107.134
22.117,-13.78,-24.268,-79.695
22.147,-27.927,-29.756,-60.671
22.148,-47.256,-29.878,-50.183
22.148,-60.732,-22.073,-39.146
22.169,-64.695,-10.976,-22.5
22.17,-63.171,2.866,3.354
22.17,-62.439,17.927,35
22.199,-60.732,31.22,63.902
22.2,-55.366,41.098,84.695
22.2,-47.744,49.39,99.634
22.229,-41.098,54.268,111.463
22.229,-33.963,52.683,119.512
22.229,-25.549,48.659,119.146
22.261,-19.085,43.841,110.427
22.261,-19.634,33.72,94.207
22.261,-22.073,23.963,74.146
22.289,-23.049,19.512,57.622
22.291,-20.061,18.171,49.939
22.291,-14.39,18.11,52.561
22.319,-12.744,20.549,64.207
22.32,-22.744,29.207,80
22.32,-43.293,48.537,88.598
22.349,-68.841,70.427,84.634
22.349,-95.427,89.207,66.768
22.349,-122.561,101.463,39.268
22.38,-145.244,107.805,9.695
22.38,-158.781,110.427,-14.634
22.38,-157.012,114.329,-22.439
22.409,-144.878,119.695,-13.293
22.409,-122.988,119.207,2.378
22.409,-88.476,105.244,15.61
22.447,-45.915,84.207,23.11
22.447,-3.415,67.5,26.159
22.447,31.159,57.195,25.061
22.47,53.963,49.146,20.732
22.47,66.707,45.244,14.39
22.47,67.866,45.671,8.232
22.499,59.756,49.451,5.061
22.499,52.5,56.037,5.366
22.5,49.634,66.707,3.293
22.54,45.183,76.89,-2.866
22.54,33.293,85.061,-8.537
22.54,19.146,93.537,-10.732
22.559,8.841,99.207,-8.841
22.559,5.61,95.915,-2.988
22.559,10.732,88.72,1.951
22.61,11.28,75.305,4.207
22.61,9.268,63.476,4.085
22.61,9.268,55.61,1.585
22.619,10,49.451,1.341
22.619,12.744,42.256,5
22.621,16.829,35.183,11.341
22.649,19.512,29.268,18.171
22.649,19.207,24.268,22.012
22.649,17.866,20.732,25.061
22.672,13.171,17.744,27.012
22.672,2.012,16.707,29.268
22.672,-7.927,16.585,32.744
22.71,-12.988,14.268,31.159
22.71,-14.695,11.463,25.488
22.71,-17.134,7.073,20.427
22.732,-24.268,1.89,19.451
22.732,-32.317,0.305,22.195
22.732,-40.366,0.61,23.232
22.762,-44.817,0.244,20.732
22.762,-45.183,-3.78,16.89
22.762,-45,-10.488,15.671
22.793,-43.78,-16.341,18.72
22.793,-41.768,-21.524,23.72
22.793,-39.756,-24.329,23.78
22.854,-37.195,-25.976,22.317
22.854,-35.976,-29.207,22.378
22.854,-37.378,-31.89,21.037
22.86,-37.866,-36.524,18.476
22.86,-38.293,-42.5,17.439
22.86,-40,-45.915,16.951
22.883,-43.354,-45.488,13.963
22.883,-49.634,-40.732,4.329
22.883,-61.098,-30.976,-15.549
22.913,-70.244,-20.183,-42.134
22.913,-63.049,-12.988,-66.159
22.913,-48.11,-19.939,-79.451
22.942,-27.317,-34.878,-87.073
22.944,-1.463,-47.012,-96.829
22.944,18.354,-55.549,-101.342
22.979,37.073,-62.683,-95.183
22.98,55.305,-69.695,-87.561
22.98,73.171,-81.524,-83.293
23.002,90,-95.427,-72.927
23.002,100.854,-110.976,-55.61
23.002,101.524,-125.793,-38.354
23.032,94.634,-138.72,-27.378
23.032,83.841,-147.927,-24.329
23.032,72.317,-146.159,-26.707
23.062,60.671,-136.524,-26.402
23.062,50,-122.561,-17.927
23.062,39.329,-106.22,-6.707
23.092,30.122,-92.683,5.793
23.092,27.195,-82.988,19.024
23.092,25.976,-77.927,30.549
23.122,21.28,-77.317,38.171
23.122,13.171,-76.524,41.768
23.122,3.11,-71.524,41.524
23.159,-8.293,-63.171,38.11
23.16,-16.098,-54.207,34.512
23.16,-12.866,-43.72,32.866
23.176,-5.244,-33.902,33.72
23.176,-0.488,-29.207,39.512
23.176,6.28,-28.293,54.39
23.204,15.427,-30.671,77.195
23.204,21.524,-40.366,100.244
23.204,28.171,-44.695,115.122
23.234,32.195,-34.268,112.317
23.234,29.085,-34.634,102.744
23.234,20.854,-33.232,86.22
23.264,8.476,-26.463,63.476
23.265,-6.402,-21.28,43.598
23.265,-19.512,-19.329,32.073
23.294,-27.5,-15.366,28.659
23.295,-31.037,-12.683,32.683
23.295,-29.085,-13.841,43.293
23.324,-21.829,-13.659,57.866
23.324,-16.646,-7.622,73.841
23.324,-17.012,-0.793,87.195
23.354,-22.073,-0.549,95.488
23.354,-28.72,-6.829,100.671
23.355,-36.89,-13.78,107.439
23.4,-44.39,-19.451,119.39
23.4,-50.915,-26.463,137.195
23.4,-52.439,-32.317,158.415
23.417,-38.537,-31.159,178.293
23.419,-14.268,-31.829,192.317
23.419,8.11,-35.854,198.659
23.444,25.793,-36.524,198.049
23.444,35.305,-35,193.72
23.444,37.073,-30.488,188.354
23.474,36.341,-22.073,181.463
23.474,34.024,-10.488,174.939
23.474,27.866,3.293,169.268
23.506,17.317,16.768,162.561
23.506,3.11,31.463,153.354
23.506,-10,48.902,140.976
23.535,-14.451,66.829,122.988
23.536,-9.085,78.232,96.585
23.536,1.159,83.232,60.61
23.567,12.073,84.146,19.939
23.567,22.988,79.329,-17.317
23.567,32.988,71.768,-45.854
23.596,40.915,64.329,-67.073
23.596,46.768,55.488,-83.049
23.596,51.524,47.012,-93.049
23.632,55.244,40.793,-97.317
23.632,58.72,36.585,-98.11
23.632,62.439,29.451,-95.854
23.654,65.915,22.5,-89.878
23.654,69.817,21.463,-83.659
23.654,71.585,22.378,-80.061
23.677,71.585,23.11,-79.573
23.677,72.744,21.585,-80.915
23.677,77.378,15.488,-82.073
23.707,82.317,7.5,-79.878
23.707,84.024,4.146,-74.817
23.707,79.695,2.988,-68.11
23.737,69.207,1.646,-58.78
23.737,56.829,0.366,-48.841
23.737,42.805,-5.549,-43.841
